,Innings 1 Team 1 Runs,Innings 1 Team 2 Runs,Innings 2 Team 1 Runs,Innings 2 Team 2 Runs,Game Type,Innings 1 Runs,Innings 2 Runs,Team 1 Runs,Team 2 Runs,Total Runs,cluster2
3,242,147.0,238.0,159.0,Low Scoring Game,389.0,397.0,480.0,306.0,786.0,0
4,263,390.0,173.0,48.0,2nd Innings Higher Scoring,653.0,221.0,436.0,438.0,874.0,1
7,95,176.0,93.0,14.0,2nd Innings Higher Scoring,271.0,107.0,188.0,190.0,378.0,0
8,245,111.0,175.0,65.0,2nd Innings Higher Scoring,356.0,240.0,420.0,176.0,596.0,0
10,112,61.0,353.0,175.0,High Scoring Games,173.0,528.0,465.0,236.0,701.0,0
11,388,321.0,247.0,315.0,Team 2 Dominates,709.0,562.0,635.0,636.0,1271.0,3
12,317,299.0,99.0,121.0,2nd Innings Higher Scoring,616.0,220.0,416.0,420.0,836.0,0
13,144,189.0,255.0,178.0,2nd Innings Higher Scoring,333.0,433.0,399.0,367.0,766.0,0
16,194,145.0,289.0,195.0,High Scoring Games,339.0,484.0,483.0,340.0,823.0,0
17,299,262.0,86.0,120.0,2nd Innings Higher Scoring,561.0,206.0,385.0,382.0,767.0,0
18,324,183.0,121.0,263.0,Low Scoring Game,507.0,384.0,445.0,446.0,891.0,0
19,454,296.0,101.0,372.0,Team 2 Dominates,750.0,473.0,555.0,668.0,1223.0,3
20,175,240.0,309.0,85.0,2nd Innings Higher Scoring,415.0,394.0,484.0,325.0,809.0,0
21,252,85.0,59.0,225.0,Low Scoring Game,337.0,284.0,311.0,310.0,621.0,0
22,285,577.0,485.0,194.0,Team 1 Dominates,862.0,679.0,770.0,771.0,1541.0,3
23,315,122.0,103.0,111.0,Low Scoring Game,437.0,214.0,418.0,233.0,651.0,0
24,388,245.0,351.0,278.0,High Scoring Games,633.0,629.0,739.0,523.0,1262.0,2
25,249,131.0,210.0,171.0,Low Scoring Game,380.0,381.0,459.0,302.0,761.0,0
26,247,61.0,133.0,101.0,Low Scoring Game,308.0,234.0,380.0,162.0,542.0,0
27,196,221.0,426.0,188.0,High Scoring Games,417.0,614.0,622.0,409.0,1031.0,2
29,301,195.0,295.0,224.0,Low Scoring Game,496.0,519.0,596.0,419.0,1015.0,2
31,430,363.0,261.0,124.0,Team 1 Dominates,793.0,385.0,691.0,487.0,1178.0,1
32,184,91.0,190.0,287.0,Low Scoring Game,275.0,477.0,374.0,378.0,752.0,0
33,148,277.0,160.0,33.0,2nd Innings Higher Scoring,425.0,193.0,308.0,310.0,618.0,0
34,385,295.0,349.0,196.0,High Scoring Games,680.0,545.0,734.0,491.0,1225.0,2
35,218,198.0,138.0,160.0,2nd Innings Higher Scoring,416.0,298.0,356.0,358.0,714.0,0
38,76,110.0,162.0,75.0,2nd Innings Higher Scoring,186.0,237.0,238.0,185.0,423.0,0
39,295,178.0,138.0,159.0,Low Scoring Game,473.0,297.0,433.0,337.0,770.0,0
40,273,300.0,300.0,275.0,High Scoring Games,573.0,575.0,573.0,575.0,1148.0,2
41,266,382.0,397.0,282.0,High Scoring Games,648.0,679.0,663.0,664.0,1327.0,2
42,285,363.0,506.0,183.0,High Scoring Games,648.0,689.0,791.0,546.0,1337.0,2
43,214,105.0,385.0,186.0,High Scoring Games,319.0,571.0,599.0,291.0,890.0,0
44,137,281.0,422.0,229.0,High Scoring Games,418.0,651.0,559.0,510.0,1069.0,2
45,74,121.0,151.0,105.0,2nd Innings Higher Scoring,195.0,256.0,225.0,226.0,451.0,0
46,269,350.0,121.0,41.0,2nd Innings Higher Scoring,619.0,162.0,390.0,391.0,781.0,0
47,188,182.0,207.0,87.0,2nd Innings Higher Scoring,370.0,294.0,395.0,269.0,664.0,0
48,147,119.0,279.0,108.0,2nd Innings Higher Scoring,266.0,387.0,426.0,227.0,653.0,0
49,325,352.0,339.0,104.0,Team 1 Dominates,677.0,443.0,664.0,456.0,1120.0,1
50,208,310.0,345.0,224.0,High Scoring Games,518.0,569.0,553.0,534.0,1087.0,2
51,199,199.0,347.0,252.0,High Scoring Games,398.0,599.0,546.0,451.0,997.0,2
52,305,322.0,237.0,221.0,Low Scoring Game,627.0,458.0,542.0,543.0,1085.0,1
53,203,207.0,178.0,175.0,2nd Innings Higher Scoring,410.0,353.0,381.0,382.0,763.0,0
54,417,103.0,16.0,327.0,Low Scoring Game,520.0,343.0,433.0,430.0,863.0,0
56,348,506.0,327.0,80.0,Team 1 Dominates,854.0,407.0,675.0,586.0,1261.0,3
57,482,465.0,360.0,339.0,Team 2 Dominates,947.0,699.0,842.0,804.0,1646.0,3
58,328,205.0,578.0,171.0,High Scoring Games,533.0,749.0,906.0,376.0,1282.0,2
59,364,160.0,198.0,401.0,Low Scoring Game,524.0,599.0,562.0,561.0,1123.0,2
60,447,318.0,308.0,291.0,Team 2 Dominates,765.0,599.0,755.0,609.0,1364.0,3
61,184,265.0,299.0,219.0,High Scoring Games,449.0,518.0,483.0,484.0,967.0,2
62,133,501.0,476.0,112.0,Team 1 Dominates,634.0,588.0,609.0,613.0,1222.0,2
64,324,176.0,214.0,292.0,Low Scoring Game,500.0,506.0,538.0,468.0,1006.0,2
67,238,151.0,308.0,304.0,High Scoring Games,389.0,612.0,546.0,455.0,1001.0,2
68,170,163.0,305.0,154.0,2nd Innings Higher Scoring,333.0,459.0,475.0,317.0,792.0,0
69,193,411.0,228.0,11.0,Team 1 Dominates,604.0,239.0,421.0,422.0,843.0,0
70,267,190.0,581.0,281.0,High Scoring Games,457.0,862.0,848.0,471.0,1319.0,2
72,354,447.0,582.0,370.0,High Scoring Games,801.0,952.0,936.0,817.0,1753.0,3
73,284,389.0,315.0,211.0,Team 1 Dominates,673.0,526.0,599.0,600.0,1199.0,2
74,204,392.0,280.0,93.0,Team 1 Dominates,596.0,373.0,484.0,485.0,969.0,1
75,112,232.0,147.0,30.0,2nd Innings Higher Scoring,344.0,177.0,259.0,262.0,521.0,0
76,187,342.0,283.0,131.0,2nd Innings Higher Scoring,529.0,414.0,470.0,473.0,943.0,0
77,407,259.0,273.0,202.0,Low Scoring Game,666.0,475.0,680.0,461.0,1141.0,1
80,299,232.0,324.0,184.0,High Scoring Games,531.0,508.0,623.0,416.0,1039.0,2
81,450,243.0,7.0,472.0,Team 2 Dominates,693.0,479.0,457.0,715.0,1172.0,1
82,180,396.0,216.0,1.0,2nd Innings Higher Scoring,576.0,217.0,396.0,397.0,793.0,0
83,148,182.0,420.0,218.0,High Scoring Games,330.0,638.0,568.0,400.0,968.0,2
84,113,183.0,242.0,173.0,2nd Innings Higher Scoring,296.0,415.0,355.0,356.0,711.0,0
86,244,295.0,376.0,247.0,High Scoring Games,539.0,623.0,620.0,542.0,1162.0,2
87,281,179.0,241.0,234.0,Low Scoring Game,460.0,475.0,522.0,413.0,935.0,0
90,396,132.0,60.0,323.0,Low Scoring Game,528.0,383.0,456.0,455.0,911.0,0
93,450,298.0,452.0,411.0,High Scoring Games,748.0,863.0,902.0,709.0,1611.0,3
94,600,479.0,250.0,290.0,Team 2 Dominates,1079.0,540.0,850.0,769.0,1619.0,3
95,489,365.0,250.0,363.0,Team 2 Dominates,854.0,613.0,739.0,728.0,1467.0,3
97,295,167.0,325.0,146.0,High Scoring Games,462.0,471.0,620.0,313.0,933.0,0
102,280,302.0,436.0,125.0,High Scoring Games,582.0,561.0,716.0,427.0,1143.0,2
103,196,313.0,170.0,57.0,2nd Innings Higher Scoring,509.0,227.0,366.0,370.0,736.0,0
104,133,250.0,428.0,224.0,High Scoring Games,383.0,652.0,561.0,474.0,1035.0,2
105,246,430.0,464.0,132.0,Team 1 Dominates,676.0,596.0,710.0,562.0,1272.0,2
106,265,328.0,215.0,156.0,2nd Innings Higher Scoring,593.0,371.0,480.0,484.0,964.0,1
107,282,332.0,118.0,69.0,2nd Innings Higher Scoring,614.0,187.0,400.0,401.0,801.0,0
111,521,122.0,342.0,66.0,Low Scoring Game,643.0,408.0,863.0,188.0,1051.0,1
